comments,date,host_id,host_name,Id,listing_id,listing_name,Number of Records,reviewer_name,review_id
The condo is just perfect as is the neighborhood. It's just the kind of area I would love to live in.  We took the bus into downtown every morning. that was fast and easy. The two times we called a cab to get us from the condo the  response time was super fast even thought it was the busiest week of the year.    This was an awesome first airbnb experience.  thank you,3/17/2013,1407108,Heather,3803370,276522,Chic Cozy Condo near Zilker Park,1,Lisa,54001020
Kaleem is a very nice guy and the place was great for the price. Close to the airport and 10 minutes from downtown. I'd stay there again.,3/17/2013,2744498,Kaleem,3811797,558109,ACL Room 2!,1,Guillermo,54001021
"""I thoroughly enjoyed my stay at Dan's. I was attending SXSW and was rather busy most days and nights and just needed somewhere safe and reliable to rest my head each night which is exactly what it was. Dan was very hospitable and full of local info. He was great for a chat or happy to leave you to do your own thing.",3/17/2013,,,3803657,78974,,1,Nick,54001022
Julia and Tom were wonderful hosts.  I spent very little time at their home due to business commitments and they were very understanding of my late night/early morning schedule.  Fresh coffee the first morning was a pleasant and appreciated surprise!  Thank you both.,3/17/2013,2598330,Julia & Tom,3810327,959733,Cozy fun home near downtown & UT,1,Bob,54001023
extremely accommodating! there is only one real bed a pull out and an air mattress but it is more than made up for like an expansive kitchen hardwood floors & a washer/dryer. The hosts left us beer champagne soda snacks & a full bar which was awesome! The house was very clean and there were plenty of blankets. The hosts were also readily available via text message to answer questions or help us find the hidden key when we got locked out! It was a great experience.,3/17/2013,2930753,Karyn,3804440,600543,Charming Central Austin Home,1,Haley,54001024
Jennifer was a great host! We enjoyed staying with her and wish we'd had more time to get to know her. She was a gracious host and even gave us a ride downtown one day so we didn't have to catch the bus. The house was great and her two dogs were super cute! Would definitely recommend and stay with again.,3/17/2013,3119688,Jenn,3811042,908903,S. Congress Room - On 2 Bus Lines,1,Kathrine,54001025
Renee's space is well kept and the furnishings are modern enough to be on par or superior to most hotel rooms. Although it isn't mentioned in the writeup the backyard is spacious and even has a skateboard ramp. One small challenge (which has to do more with the location than the house) is that many taxi drivers have a tough time finding it. I wound up renting a bike to get downtown which was a fairly simple solution.,3/17/2013,427211,Renee,3809193,79335,2BR Modern Zilker Duplex - Unit A,1,Neil,54001026
"""Danielle was an awesome host.  She had bagels fruit and coffee available in the mornings for guests.  Additionally when there wasn't a bike available for guests she went and purchased a hot pink hybrid that was perfect for SXSW.",3/17/2013,,,3806721,328769,,1,Isidore,54001027
Nice place exactely what we needed. Great stay for SXSW :-),3/17/2013,2839795,Margo,3803602,577499,Sunny Zilker Neighborhood Studio,1,Ørjan,54001028
"""Christy's home is beautiful and she was an incredible host. I rented with her for SXSW Interactive and my team was really happy with everything about the house. The neighborhood is quiet full of interesting architecture and close to some great places to eat. After working really hard to get ready for the conference when we got to the house I felt like she anticipated what I needed to get everyone settled.",3/17/2013,,,3804630,882057,,1,Katie,54001029
Lisa was great! She let us drop our bags off early so we could enjoy our time in Austin right away and even found me an ironing board and iron for my wrinkly clothes. What a great host!,3/17/2013,7976770,Andrew,3803974,587572,"""The Austin """"Get Away""""""",1,Megan,54001030
Overall our group had a great stay! Scott was a wonderful host and was very accommodating. We had 5 people staying at his place and there was plenty of room for all! Scott was great to coordinate with prior to our trip and made sure we had everything we needed. For our trip to SXSW his place was perfect and we hope to stay there again next year!,3/17/2013,741170,Scott,3806677,154103,4 BDR Home Ideal for SXSW F1 ACL,1,Lindsay,54001031
Finding a place last minute during SXSW is next to impossible.  Janine came to us in a clutch and was very gracious to let us store our bags there past hours.  Very kind person!,3/17/2013,4432914,Janine,3809881,860792,Cool Zip 78704 Zilker Bungalow,1,Jimmy,54001032
Was down for the music portion of SXSW the entry into the place was easy at all times w/o distrubing Matt.  Place was spotless great facilities etc.,3/17/2013,1348968,SoCoBnB /Matt,3803624,368156,Private Room B With Bath on SOCO,1,Colin,54001033
this is what has been missing from my sxsw experiences before. A place that feels like my own retreat. It was close enough to everything I needed as far as venue bus lines restaurants coffee shops and more. Extremely well kept and furnished. Everything I needed. Elizabeth was a very accommodating host. I would highly recommend. The property that this is on has just the right amount of seclusion and privacy while still feeling very much in the mix. Thanks so much!,3/17/2013,1674160,Elizabeth,3806845,543363,South Congress Studio perfect 4 2!,1,Chris,54001034
Susie was a wonderful host. She made me feel incredibly welcome in her lovely home and went to extraordinary lengths to make my stay as comfortable as possible lending me her bike for the short ride to downtown Austin and helping with public transport information etc. As a guest you'll be surrounded by Susie's own beautiful artwork and doted on by her adorable dog Walter! Your ensuite bedroom is spacious homely and private and if you're very lucky you might get to try some of her delicious banana bread! I can thoroughly recommend Susie's Artist Getaway if you're looking for somewhere clean quiet comfortable and convenient to stay while you're in Austin.,3/17/2013,5008436,Susie,3807573,929974,Artist Getaway in 78704,1,Chris,54001035
Excellent house location & hospitality.,3/17/2013,3272063,Shauna,3806331,651311,SOCO home for ACL Formula1 & SXSW,1,Jamie,54001036
"""Great place perfect location and superb hosts! Definite thumbs up for this one. We had a great stay and would like to come back in the future.",3/17/2013,,,3803645,323733,,1,Peter,54001037
Cindy was more then accommodating for our stay in austin. She was very helpful in coordinating the amount of bed space needed and made sure that everyone felt at home. Looking forward to hopefully staying there again next year!,3/17/2013,4902364,Cindy,3806881,913292,Two-Story Texas Beauty Private,1,Michael,54001038
Linda was a very accommodating host. Her house is in a convenient location which is very walkable from downtown (minus huge suit cases!) The bus stop for downtown is also close by. The room and bathroom were tidy and well equipped with lots of nice touches like maps water etc. Coffee in the morning was much appreciated. Would highly recommend Linda's place for anyone looking for great and affordable accommodation near downtown Austin.,3/17/2013,1143953,Linda And Lia,3803691,259845,East Side Brand new! Close UT-DownT,1,Zoe,54001039
"""What a great place and lovely people! Communication was excellent both before during and after our stay.",3/17/2013,,,3806789,927607,,1,Glenn,54001040
"""Great experience! Best value of sxsw in my opinion. Great for those going to Austin on a budget. Jim and everyone at the site really create a great community vibe which is nice. Loved it!",3/17/2013,,,3806525,685447,,1,Colin,54001041
"""Phillip is a very kind person the house is really lovely and clean in wonderful place close to the downtown. We really felt like at home!",3/17/2013,,,3803928,747499,,1,Lorenzo,54001042
We loved the house it was comfortable and lovely.  It was in a great location relative to going out downtown and E. Sixth street so worked well for our needs.  The dogs are totally cute.,3/17/2013,3147504,Michelle,3804794,632659,Central/East Modern Guest House,1,Keri,54001043
Lovely house and handy parking pass.,3/17/2013,1722013,Alison,3804522,339106,Comes w/ Downtown Parking Pass,1,Jaden,54001044
Nice room great location friendly and organised host - this booking was exactly what I was looking for. I felt welcome and very much at home - I would stay here again without hesitation.,3/17/2013,5167280,Dustee,3812105,953640,Charming Austin Flat- Walk to FFF!,1,Stephen,54001045
"""There are few homes that I have been to in my life that inspire you to dream BIG - not in an ostentatious sort of way but to actually evaluate one's basic idea of a home and a place of rest. To think about what a home can be...",3/17/2013,,,3803488,733203,,1,Kiran,54001046
"""Justin was an amazing host! My sister and I were in Austin for SXSW and absolutely loved staying at this location. We were right in the heart of Soco just a few minutes walk to Congress. The place itself was super clean cozy and cute. We loved sitting on the deck outside with a cold Lonestar. The shower is to die for and was our daily saving grace after a marathon of shows. We will absolutely stay here again and highly recommend this listing. Thanks for making our yearly South By trip even more amazing Justin! :)",3/17/2013,,,3807713,949685,,1,Sandra,54001047
"""Great house. Spacious stylish plenty of rooms  nice garden",3/17/2013,,,3803384,153050,,1,Curt Simon,54001048
We had an excellent experience with Whitney and her beautiful house. It's only minutes walk to South Congress and easily accessible to buses and downtown. The house is perfect kitchen is great. We fit around eight people in there over SXSW (and not just developers and kids most of us were 35+). Whitney communicated well throughout called prior to our arrival and was helpful throughout our stay. Highly recommended.,3/17/2013,1751224,Whitney,3805196,345473,SXSW SoCo 3BR/2BA House BEAUTIFUL!!,1,Andrew,54001049
Lisa was a great host!  She was really helpful in providing advice for how to get around Austin during SXSW.  From the moment we arrived she offered great suggestions for places to go around town and she even provided maps.  Her house is beautiful and clean and our room was quite comfortable.  I'd definitely recommend staying with Lisa especially if you have a car and don't mind the 10-15 minute drive to get downtown.,3/17/2013,1135224,Lisa,3811284,962669,Private Cozy Room in Charming Home,1,Amanda,54001050
He was awesome! He attended to us so wamrly. He was always taking care of us from beds to unitilities to foods. He even had a party for us with sushi miso soup and sake. As a Japanese it was so nice and heartwarming to me. Also even though his house is usually powered by solar energy he enabled an emergency power source seening us having a difficulty. We definitely would like to stay with him if we had a chance to visit Austin again. Thank you Coleman!,3/17/2013,681301,Coleman,3803932,315378,Large Suite in Eco Nature Retreat,1,Toshinari,54001051
"""We had a very good stay in Mary's Cottage. The house is great and it's located in a very friendly part of of Austin. But all this said the best part could probably be the beds! They are simply amazing! It's maybe the best bed I've ever slept in.",3/17/2013,,,3803886,104386,,1,Jonas,54001052
Cathryn was a fantastic host and her house is absolutely beautiful.  We would 100% recommend staying here to anyone visiting Austin.,3/17/2013,827967,Cathryn,3807444,209235,Festival fun rental in Austin 78704,1,Sinclair,54001053
Chris and Jan were lovely to work with. The house was perfectly clean and very inviting. The room was extremely comfortable and the bed was too. I loved the back patio and enjoyed drinking coffee in the sun every morning. It is just a few miles from downtown Austin and made my very busy experience as a musician playing in SXSW very relaxing and enjoyable. I would highly recommend working with them!,3/17/2013,3444429,Chris,3809481,966601,Sweet House Close To Downtown,1,Erin,54001054
Christi and Craig were wonderfully generous hosts to our group during our 9-day stay in their home. We were very pleased with the great layout modern decor and beautiful private backyard. The location was also ideally close to downtown but in a quiet neighborhood. Would highly recommend this home for a place to stay in Austin!,3/17/2013,1217905,Christi,3803942,345571,Zilker Gem-SXSW! 5 min.to Downtown!,1,Andy,54001055
I came here for SXSW and it was the perfect little place and location for me!  I used to live in Austin so I knew the area really well and was able to walk everywhere I wanted to go.  Fiona was very nice and welcoming and the space she made is so lovely!  I highly recommend it for a solo traveler close couple or best friends.  (The bathroom has no door just curtain)  I would definitely stay here again!,3/18/2013,688306,Fiona,3813261,141550,Sweet Sexy Studio in the '02,1,Liz,54001056
Dallas was a great host and our whole team enjoyed our stay. His place was very nice and well-kept as the photos illustrated. Dallas also provided some complimentary food coffee beer and toiletries that was very appreciated. He was quick to reply to any quick questions via e-mail or text and even came over promptly to help us figure out a question we had about the house. Would definitely suggest the place and Dallas as a host to anyone and we would rent from him again next time we're in Austin!,3/18/2013,1523587,Dallas,3826215,294708,Excellent Proximity Austin 4bd 3ba,1,Tim,54001057
the house was comfortable and inviting.  easily accommodated our party of 6.  everything is as pictured/described.  Brooks made everything easy and communication with him was quick and helpful.  we took a shortcut through the campus to the nearest bus stop which saved time and provided a scenic walk.  highly recommended - we would definitely stay here again!,3/18/2013,1327500,,3823848,252804,» 3 bed sleeps 6 2 miles to DT,1,Mark & Karen,54001058
Joey was extremely friendly and helpful. The guest house is very nice and was the perfect lodging for our stay in Austin during SXSW. Highly recommended.,3/18/2013,1735494,Joey And Steph,3814427,342039,Private Guest House - Walk Downtown,1,Brian,54001059
very easy experience. Jim is a kind gracious responsive experienced host. highly recommended :),3/18/2013,1568741,Jim O',3825523,968760,Camp EZ in SxSAustin7,1,Sean,54001060
Fantastic place comfortably accommodated a big group of folks in town for SXSW. David was really nice and made sure everything was taken care of even though he was abroad. Overall great experience and the place itself is pretty special and easy to get to downtown. Only gripe is I wish we'd been able to use the pool but perhaps if/when we all come back in the summer!,3/18/2013,1772568,David,3816855,904354,Rare Wild West-style compound nr DT,1,Dean,54001061
Kevin was out of town during our stay but he made sure everything was ready for our arrival.  Their place is clean very comfortable and has interesting books and decorations.  We all had a great time staying there@,3/18/2013,408534,Kevin,3813321,76501,Upstairs Flat in Central Austin,1,Leila,54001062
Awesome quiet little studio that was perfect for my boyfriend & I during SXSW. Amazing that this cute little neighborhood is so close to the highway & downtown!,3/18/2013,359112,Sara,3820386,70659,Private Cottage-Near UT/Hyde Park,1,Kyla,54001063
"""Great house in a great location with great hosts!",3/18/2013,,,3822258,585041,,1,Joseph,54001064
We had a great experience in Austin and Craig's place was perfect for my friend and I.  We didn't spend much time in the place but the proximity to the bus and to downtown was great especially since we were in town for SXSW.  Craig was a very generous host and picked us up from the airport and even woke up to drop us off at the airport at 5am the day we were leaving.  I would definitely recommend this place to anyone going to Austin especially if for one of the amazing festivals that are always going on!,3/18/2013,274880,Craig,3824308,973313,Downtown Garage Studio w/2 Bikes,1,Susmita,54001065
"""We rented out Anne's house for SXSW and it comfortably slept 7 people.  The house was in great condition and Anne was so easy to deal with to get into the house etc.  Hopefully we can rent her house again next year as everything about it was perfect for us.  Its just a couple minute drive into downtown Austin and the neighborhood was very quiet and low key.",3/18/2013,,,3815791,727748,,1,Mike,54001066
Jose's place is great.  Very convenient and lots of space.  Thanks for having us worked perfectly for our stay!,3/18/2013,2174080,Jose,3819572,673379,Resort Style Living - Whole House,1,Dustin,54001067
The stay at Lata's apartment was exactly as described -- charming quiet and comfortable.  About the only issue was that the bathroom was downstairsbut that was no big deal at all.   I would definitely request this stay again if I need to be local in west Austin.,3/18/2013,265070,Lata,3820678,664013,Charming Hill Country Cottage,1,Alfred,54001068
Beautiful spot quiet backyard great hosts!,3/18/2013,14156,Amy,3816699,6448,Secluded Studio in 78704 (Zilker),1,Praveen,54001069
We really enjoyed our stay and Hugh was a great host. He definitely made us feel at home in his place and communicated well before and during our during our stay. The condo is spacious bright and clean. We slept 4 people very comfortably. Location was perfect - we were walking distance or a short cab ride from all of the SXSW festivities with lots of food trucks/bars/restaurants along the way. I recommend the place and wouldn't hesitate to stay here on future visits.,3/18/2013,1752600,Hugh,3815579,345543,Loft in Hip East Austin - ACL SXSW,1,Kat,54001070
Carlos is an awesome host. His house is wonderful and so comfortable. next time I am in Austin I will definitely be staying at this house again hopefully it is available. Thanks Carlos!,3/18/2013,1858184,Carlos,3829687,368057,New Modern Home Near Downtown,1,Inam,54001071
A great room in a old women's college. D'Ann has done an amazing job making this place comfortable and provides lots of snacks. What more could you ask for.,3/18/2013,4055008,D'Ann,3813243,776441,Inn at Old School Natalie's Room,1,Sam,54001072
This space was super clean efficient and perfect for my needs during SXSW in Austin. It was quiet parking was accessible and everything was modern and new. I plan to stay here again during the festival next year as well as just some get away time.. oh I should mention.. I didnt want to get out of the bed.. like EVER. it was the most comfortable bed I have ever slept on. High thread count as well.,3/18/2013,1151576,Joe & Bella,3822893,958523,Guest Bungalow  2 Miles To D/T,1,Amanda,54001073
Brooke is friendly responsive and really helped us out in a jam.  Her properties are well located and just as described in her listings.  I would highly recommend doing business with her and am looking forward to sending all my pals visiting Austin (when my house is too full) to Brooke.  She's top notch and a pleasure to deal with!,3/18/2013,1488733,Brooke,3828497,983530,Garden Hide Away - Great Value,1,Leah,54001074
Marjorie's house was a dream. I went during a gruelingly long trip for SXSW which I'm not sure I could have survived if it wasn't for her luxuriant hot tub out back. The space was very comfortable the area green and bike-able and Marjorie made sure we had everything  we needed (even a personal chauffeur in the neighbor upstairs!).,3/18/2013,3380639,Marjorie,3813625,668208,ZILKER! 3/2 w Pool/Spa by Greenbelt,1,Jim,54001075
Tatiana was an awesome host. Great communication and great house. The house itself was very clean and spacious. The coffee shop next door is a life/time saver for quick bite/drink! Thanks Tatiana.,3/18/2013,1660838,Tatiana,3816393,767425,3BR Stylish New Austin Modern,1,Chaz,54001076
Ana was so sweet and helpful when we stayed here for sxsw. She showed us around the guesthouse let us know where to find everything and even had the unit stocked with snacks and a few beverages. Such a cute unique guest house in a lovely part of Austin.  Perfect for a weekend get away!,3/18/2013,3803117,Ana,3820390,731013,Private Guest House Heart of Zilker,1,Michelle,54001077
Loved our stay at Elisa's Summer Home.  My group and I were recetly in Austin for SXSW and the house was perfect.  Comfortable and spacious with a great kitchen and beautiful master bedroom.  Amazing location and neighbored right near the corner of S. 1st  so it was a quick stroll to charming South Congress or across the street to delicious food trucks.  Quick cab to downtown.  The front porch and side and back decks were perfect to relax and hang out with friends or family.  I am green conscious so I appreciated all of the eco-friendly touches the house has as well.  We were greeted with a bottle of vino and some tasty chips and salsa.  I would definitely recommend to anyone traveling to Austin and would love to stay here again.,3/18/2013,3003303,Elisa,3813074,606351,Eco-chic 2/2-perfect SXSW location!,1,Adriana,54001078
We had the best possible kind of experience at the bungalow. The place is comfortable quirky and full of light. Doug and Savanna only stopped by to drop off local beer and explain the artwork. Highly recommend staying here and hanging out with Hondo.,3/18/2013,1761506,Doug & Savanna,3815859,347572,Bungalow in East Austin,1,Morgan,54001079
Mike is a great host. We all had a crazy week at SXSW and the loose chill vibe at this house was a welcome about-face from the madness downtown. The backyard is amazing for coffee-sipping mornings. There were 8 of us at the house and it was more than enough space.,3/18/2013,3552066,Mike,3815545,739819,Remodeled 3 bed 2 bath w/Back House,1,Eric,54001080
Sheila was a very accommodating and generous host. When you hear about about southern hospitality you can expect that from this host. Very nice bright house. Tons of windows and a clean well kept place. Loved our stay and would come back next year! :),3/18/2013,2484820,Sheila,3813106,539839,Comfortable Family Vacation House,1,Michael,54001081
Had a great stay. Michelle was a wonderful host. Will definitely be my first choice should I ever head back to Austin.,3/18/2013,456230,Michele,3815183,83643,Fun Central Austin Convenience,1,Christopher,54001082
Perfect size for two people. The loft was nice and clean and had plenty of amentities for a short stay.,3/18/2013,513142,Madge,3813465,785270,The Darlington Arms Central Austin,1,Ashley,54001083
Joe was a WONDERFUL host so accomodating. He even offered to accept a Zappos shoe shipment for me! that's special. The bungalow is spotless spacious and adorable. Amazing location so close to some of my favorite shops and restaurants in Austin. I would definitely stay here again - the only bummer is that there seems to be construction happening right next door which starts at 8am.,3/18/2013,1384629,Joe,3813130,263905,2BR/2BA Modern Bungalow Hip Soco,1,Niki,54001084
Such a great location. Amazing Apt! Jamie was awesome. Just do it.,3/18/2013,1921749,Jamie,3812822,383689,Modern Loft in the Middle of Austin,1,Alec,54001085
Rented Scott's house for SXSW.  Excellent location for that event.  Exactly 2.3 miles from Auditorium Shores.  Every type store / restaurant / bar you would need on the route.  Bus stops also just yards away from the house.  Neighborhood is quiet.  I am still wishing I could take Scott's kitchen and move it into my own place.  Excellent host.,3/18/2013,1278574,Scott,3820774,847982,Zilker Guest House Long-Term Rental,1,Rick,54001086
We loved staying at Downtown Oasis. Alexis was super professional gave us all the info we needed and was easy to contact throughout the stay. The apartment was great clean well stocked and comfortable. Would definitely stay here again.,3/18/2013,2567934,Alexis,3814361,522136,Downtown Oasis - Quiet Retreat!,1,John,54001087
We stayed at Molly's house for SXSW 2013.  The house is lovely in a great area and is the perfect distance to the city centre.  Molly was great to deal with when we were planning our trip. She was also very thoughtful in providing us with recommendations for shopping restaurants etc in the area.  We loved staying at Molly's place and thoroughly recommend it to anyone else considering a visit to Austin.,3/18/2013,50793,Molly,3812738,13035,Central East Austin house & garden,1,Nigel,54001088
This house is AMAZING. Honestly the photos don't do it justice once you get in you won't want to leave seriously I wanted to move in. And Joseph is a great host super responsive patient flexible and cool. I would love to stay at his place many more times.,3/18/2013,1282837,Joseph,3819314,295275,Stylish 3/2/2 with large backyard,1,Humberto,54001089
What a great stay my friends and I had at the Teal Ranch!  Olivia's perfect hosting started from afar - her emails were warm and friendly informative and prompt.  I felt welcomed from the moment she accepted our reservation - and that continued throughout - she took great care to set up the house exactly how we needed it for the number of guests that were coming.  There were even cereals provided and candies on the pillows!  I mean how gracious can you get?  The house is adorably decorated and perfectly comfortable for lounging around with friends - particularly soaking up the Austin sunshine in the cute backyard/side porch areas.  And it's a perfect distance to all the area attractions we wanted to get to - from delicious BBQ joints to swimming holes to downtown music venues.  Stay here if you can - I'd recommend it all the way around!,3/18/2013,1163788,Olivia,3816559,905360,100%  Charming! - The Saffron House,1,Jamie,54001090
The title speaks for it itself. Really beautiful. Perfect for all of our SXSW needs. A 25 minute walk to the Convention Center. Thanks so much John!,3/18/2013,989596,John,3816965,540377,Beautiful SoCo House near downtown,1,Amul,54001091
"""I had a very nice stay at Daniel's house. He was very friendly and the suite was clean and cozy. I highly recommend it to anyone visiting Austin. The Zilker area is just great -- lovely residential area near a few cute restaurants and bars and its an easy walk to buses downtown.",3/18/2013,,,3813303,363040,,1,Miranda,54001092
"""Amazing house and incredible accommodations. Full kitchen and 2 beds in the 2 bedrooms. The office was perfect for a 3rd giant air mattress that was provided by Derek and Jessica.",3/18/2013,,,3817099,906892,,1,Maury,54001093
Ashley's home is truly lovely. You feel comfortable and at ease as soon as you arrive. The full kitchen is spacious and ideal. The shower and bath tub are gorgeous. The back patio/deck is a dream. Perfect place to enjoy coffee listen to birds chirping and simply relax. If you're looking for a comfortable home with great amenities in a quiet neighborhood this is the spot for you.,3/18/2013,177441,Ash,3813124,76497,FAB 2 bDR where Airbnb CEO stays!,1,Miriam,54001094
Great place! Location is amazing. Views are spectacular. Very comfortable spot. The gym and pool are a nice bonus. Overall a great experience.,3/18/2013,406286,Nat,3825511,76184,HIGH Tech Luxury w/ Incredible View,1,Casey,54001095
Martin was a great host.  He left the place very clean for us and responded very quickly to some questions we had after we had already settled into the space.  This is a great place to stay!,3/18/2013,2494038,Martin,3828299,975891,700 sqr ft Condo Close to DT Austin,1,Victor,54001096
I stayed at Meaghan's place with 4 friends during SXSW and had a great time. It was the perfect oasis outside the mayhem of central Austin. The beds were super comfortable the kitchen was great the back patio was nice for relaxing. Location also good walking distance to a grocery store post office pharmacy and many other amenities. Very clean highly recommended.,3/18/2013,3509782,Meaghan,3813429,687675,Comfy 3/2 Home on UT shuttle,1,David,54001097
I stayed with a friend in the RV for a couple days and it has everything you need hot water a comfortable bed to sleep wifi and a place to cook. Is not far from downtown so I walked everyday.,3/18/2013,1246229,Elizabeth,3822226,942357,Hip East Austin 'Hood RV Living!,1,Daniel,54001098
"""Valentina and Herb's studio apartment is cozy quiet and clean.  It's a great place to rejuvenate and rest after a long day of exploring Austin.  The apartment is near a few restaurants and bars.  It's also about 7-10 minutes from downtown.",3/18/2013,,,3826135,968108,,1,Valerie,54001099
Had a wonderful time in Austin.  Caitlin's house was fantastic and a great location to get around East Austin and Downtown Austin.  Having coffee in the AM on the back deck was one of the highlights and the Mexican restaurant a few blocks up that was open 24 hours was a great place to grab a quick tasty and inexpensive meal.  The neighborhood was quiet and super nice.  Would recommend Caitlin's house to anyone looking to have a very positive experience.,3/18/2013,1208485,Caitlin,3815051,248515,Walk to SXSW-Cute Eastside Bungalow,1,Sue,54001100
Me and a group of 11 stayed at Geoff's house for a weekend. We had such a great time...the location was a steal! We went to the local bars which was about a 5 min drive and downtown which was 10-15 min drive. We also went kayaking/canoeing at Lake Zilker which was 1 mile down street! Couldn't ask for a better location. The house was beautiful and fit 12 people comfortably. This was my first time renting through airbnb and Geoff was an outstanding host. Very patient informative and accommodating to all my needs. He provided a welcome basket w/ goodies beer & wine and he even stocked the pantry and fridge full of food for us! The house came fully furnished and Geoff had extra air mattresses if we needed them. Thanks to Geoff this Austin trip was unforgettable ..best birthday weekend ever!,3/18/2013,3378401,Geoff,3816425,667769,3 Bdrm House  -Trendy/Central Local,1,Kim,54001101
Jules & Lance's house is gorgeous & they were gracious hosts. We had a wonderful stay with a group of friends over SxSW. Their home provided a much needed respite from the hustle and bustle of the festival. Everyone we stayed with was delighted with the home and all of its amenities.,3/18/2013,3468228,Jules & Lance,3812898,681118,The Haskell House,1,Matt,54001102
We only stayed one night and did not get a chance to see much of our hosts but we had a very nice stay here. The house was within walking distance of downtown Austin which was very convenient for SXSW and their dog and cats were sweet. If you are looking for a no-hassle economical place to stay in Austin this is it.,3/18/2013,1714815,Veronica,3826151,337414,cute central eastside bungalow!,1,Renee,54001103
"""Camping with 5 friends during SXSW.",3/18/2013,,,3821798,936496,,1,Amina,54001104
"""Paddy's place was just as advertised. It was clean and she clearly went all out in trying to make the place comfortable. However her level of involvement at the place was less than ideal.",3/18/2013,,,3813128,2265,,1,John,54001105
Thank you Denise and KK for a wonderful stay and being so helpful while we visited!  We enjoyed our four days immensely during SXSW and the accomodations and location were all that we had hoped for.  Your place was immaculate cosy and comfortable and the neighborhood had lots of wonderful shops and a great vibe. Thank you for your restaurant recommendations (we especially loved the BBQ truck!).  We hope to return to Austin in the future and would love to stay with you again.,3/18/2013,3403543,Denise,3813797,804391,LOCATION LOCATION IN TRENDY SOCO,1,Gary,54001106
Kelly was an amazing host!  She was extremely accommodating making sure we always had what we needed.  Her home is warm comfortable and very clean.  It was truly a home away from home.  It was our first time to Austin and we couldn't have picked a better spot.  We highly recommend Kelly and her beautiful condo to everyone.,3/18/2013,25602,Kelly,3815073,698313,SOCO Charmer!,1,Wildcat,54001107
This apartment was the perfect stay for my company for SXSW. It was a quick bike ride from all the activities downtown and even included 2 bikes! Edna and Lance were the perfect hosts with very quick communication about anything Austin related. I would recommend this place or any other place Edna and Lance plan to rent in the future.,3/18/2013,105011,Eddy & Pants,3822605,964776,Cute Austin Home for ACL w/Bikes,1,Jackie,54001108
Sovay's cottage is one of the best places I've stayed via SXSW. It's absolutely beautiful and full of charm a lovely magic feeling place to escape back to. She also left us some wine and a kind neighbour brought us free range eggs. Sovay knows how to add those little finishing touches that make a stay really special. Couldn't recommend her place highly enough.,3/18/2013,347068,Sovay,3816953,69352,Enchanting Zilker Cottage~Downtown,1,Jamie,54001109
"""For my first experience of Airbnb and the US I was a little nervous as to how everything would all play out.... but it couldn't have been any better!!! David and his girlfriend Rebecca were absolutely wonderful so friendly and reliable - I enjoyed staying with them so much!",3/18/2013,,,3822835,775192,,1,Mariam,54001110
We had a blast in austin for sxsw!!! But what made it even better was Keturah's house. It is a beautiful home! very spacious convenient and homely.  Keturah was very helpful  and great to talk to. she even offered us a ride in the event we got super drunk lol. she is such a great host and I will definitely book the next time im in austin.,3/18/2013,425516,Keturah,3813547,730484,3bd Spacious East central House,1,Dewayne,54001111
Georgia was a great hostess she provided unexpected extras such as refreshments in the fridge a pinball machine and even a functioning grill with all the accessories!!! The house is well kept and very cozy even better Georgia was friendly and her personality added all the more to our Austin experience. Highly Recommended!!!,3/18/2013,3475096,Georgia,3821812,892618,Comfortable home close to Downtown,1,Jordan,54001112
Gabriel's place was perfect for our stay in Austin during SXSW!  Everything was ready for us when we arrived.  It's as described - a cozy home - very cute and great decor.  The location is perfect for any outings in Austin.  We enjoyed our stay and hope to be able to stay again in the future!,3/18/2013,3596874,Gabriel,3814697,701032,Cozy Downtown Home,1,Allison,54001113
"""An amazing host in a wonderful place. Austin rocks!",3/18/2013,,,3813529,341596,,1,Jan,54001114
Our stay at Mocha Jean's house was wonderful. We we're set up the entire week with everything we needed including some amazing coffee from a local trader. The house was in biking distance from downtown and close to my favorite part of Austin East 6th street. Communication and planning beforehand was also really great. I hope we're able to stay again some time!,3/18/2013,1880634,Mj,3816219,579270,Beautiful House on the East Side,1,Addison,54001115
Jim was a great and gracious host. We had a wonderful time camping on his land. Thanks Jim!,3/18/2013,1568741,Jim O',3828229,968817,CampEZ in SxSAustin8,1,Mary,54001116
Pam was great! She had awesome recommendations on the surrounding areas and her place was a perfect recharge spot to escape the craziness of the SXSW festival.,3/18/2013,4065715,Pam,3818836,770721,1 bedroom apartment in Clarksville,1,Brandon,54001117
I had a really good time staying with Angel. The house was very cozy and charming. My friend and I stayed with her during our stay at SXSW and I'm really glad we did. I would definitely book with her the next time I'm in Austin.,3/18/2013,880571,Angel,3813969,883802,Urban Homestead: Chickens + Bikes,1,Yvonne,54001118
"""Having Jill's studio as a base for a calm SXSW (in the company of my 4 year old) was just perfect. The space is very charming and has everything you might need: a kitchenette a lovely bathroom with a bath tub and of course the outdoors shower that we loved! Sleeping out on the screen porch was great - now one of my goals in life is to live somewhere where i can sleep on a screen porch and listen to the birds waking up in the morning!! Beautiful!",3/18/2013,,,3812782,52874,,1,Freya,54001119
